From	Entry	Length	Entry Name	Taxonomic lineage	Signal peptide
Q62598	Q62598	687	DSPP_RAT	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Metazoa (kingdom), Eumetazoa (no rank), Bilateria (no rank), Deuterostomia (no rank), Chordata (phylum), Craniata (subphylum), Vertebrata (no rank), Gnathostomata (no rank), Teleostomi (no rank), Euteleostomi (no rank), Sarcopterygii (superclass), Dipnotetrapodomorpha (no rank), Tetrapoda (no rank), Amniota (no rank), Mammalia (class), Theria (no rank), Eutheria (no rank), Boreoeutheria (no rank), Euarchontoglires (superorder), Glires (no rank), Rodentia (order), Myomorpha (suborder), Muroidea (no rank), Muridae (family), Murinae (subfamily), Rattus (genus)	"SIGNAL 1..17; /evidence=""ECO:0000269|PubMed:8106414"""
Q84UV8	Q84UV8	274	NEC3_NICLS	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (no rank), Tracheophyta (no rank), Euphyllophyta (no rank), Spermatophyta (no rank), Magnoliopsida (class), Mesangiospermae (no rank), eudicotyledons (no rank), Gunneridae (no rank), Pentapetalae (no rank), asterids (no rank), lamiids (no rank), Solanales (order), Solanaceae (family), Nicotianoideae (subfamily), Nicotianeae (tribe), Nicotiana (genus)	"SIGNAL 1..25; /evidence=""ECO:0000269|PubMed:15284496"""
P04552	P04552	154	ELYS_HALRU	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Metazoa (kingdom), Eumetazoa (no rank), Bilateria (no rank), Protostomia (no rank), Spiralia (no rank), Lophotrochozoa (no rank), Mollusca (phylum), Gastropoda (class), Vetigastropoda (subclass), Lepetellida (order), Haliotoidea (superfamily), Haliotidae (family), Haliotis (genus)	"SIGNAL 1..18; /evidence=""ECO:0000269|PubMed:3894351"""
Q6UXB8	Q6UXB8	463	PI16_HUMAN	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Metazoa (kingdom), Eumetazoa (no rank), Bilateria (no rank), Deuterostomia (no rank), Chordata (phylum), Craniata (subphylum), Vertebrata (no rank), Gnathostomata (no rank), Teleostomi (no rank), Euteleostomi (no rank), Sarcopterygii (superclass), Dipnotetrapodomorpha (no rank), Tetrapoda (no rank), Amniota (no rank), Mammalia (class), Theria (no rank), Eutheria (no rank), Boreoeutheria (no rank), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	"SIGNAL 1..27; /evidence=""ECO:0000269|PubMed:15344909"""
Q23997	Q23997	452	C5210_DROME	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Metazoa (kingdom), Eumetazoa (no rank), Bilateria (no rank), Protostomia (no rank), Ecdysozoa (no rank), Panarthropoda (no rank), Arthropoda (phylum), Mandibulata (no rank), Pancrustacea (no rank), Hexapoda (subphylum), Insecta (class), Dicondylia (no rank), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Brachycera (suborder), Muscomorpha (infraorder), Eremoneura (no rank), Cyclorrhapha (no rank), Schizophora (no rank), Acalyptratae (no rank), Ephydroidea (superfamily), Drosophilidae (family), Drosophilinae (subfamily), Drosophilini (tribe), Drosophila (genus), Sophophora (subgenus), melanogaster group (no rank), melanogaster subgroup (no rank)	"SIGNAL 1..18; /evidence=""ECO:0000269|PubMed:7875581"""
Q28143	Q28143	456	NRX3B_BOVIN	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Metazoa (kingdom), Eumetazoa (no rank), Bilateria (no rank), Deuterostomia (no rank), Chordata (phylum), Craniata (subphylum), Vertebrata (no rank), Gnathostomata (no rank), Teleostomi (no rank), Euteleostomi (no rank), Sarcopterygii (superclass), Dipnotetrapodomorpha (no rank), Tetrapoda (no rank), Amniota (no rank), Mammalia (class), Theria (no rank), Eutheria (no rank), Boreoeutheria (no rank), Laurasiatheria (superorder), Artiodactyla (order), Ruminantia (suborder), Pecora (infraorder), Bovidae (family), Bovinae (subfamily), Bos (genus)	"SIGNAL 1..35; /evidence=""ECO:0000269|PubMed:8163501"""
Q03383	Q03383	400	ACH1_BOMMO	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Metazoa (kingdom), Eumetazoa (no rank), Bilateria (no rank), Protostomia (no rank), Ecdysozoa (no rank), Panarthropoda (no rank), Arthropoda (phylum), Mandibulata (no rank), Pancrustacea (no rank), Hexapoda (subphylum), Insecta (class), Dicondylia (no rank), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Amphiesmenoptera (superorder), Lepidoptera (order), Glossata (suborder), Neolepidoptera (infraorder), Heteroneura (parvorder), Ditrysia (no rank), Obtectomera (no rank), Bombycoidea (superfamily), Bombycidae (family), Bombycinae (subfamily), Bombyx (genus)	"SIGNAL 1..16; /evidence=""ECO:0000269|PubMed:6430879"""
P0DQC1	P0DQC1	92	TXF2A_SCODE	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Metazoa (kingdom), Eumetazoa (no rank), Bilateria (no rank), Protostomia (no rank), Ecdysozoa (no rank), Panarthropoda (no rank), Arthropoda (phylum), Mandibulata (no rank), Myriapoda (subphylum), Chilopoda (class), Pleurostigmophora (subclass), Epimorpha (no rank), Scolopendromorpha (order), Scolopendridae (family), Scolopendra (genus)	"SIGNAL 1..20; /evidence=""ECO:0000269|PubMed:23148443"""
Q8TC27	Q8TC27	787	ADA32_HUMAN	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Metazoa (kingdom), Eumetazoa (no rank), Bilateria (no rank), Deuterostomia (no rank), Chordata (phylum), Craniata (subphylum), Vertebrata (no rank), Gnathostomata (no rank), Teleostomi (no rank), Euteleostomi (no rank), Sarcopterygii (superclass), Dipnotetrapodomorpha (no rank), Tetrapoda (no rank), Amniota (no rank), Mammalia (class), Theria (no rank), Eutheria (no rank), Boreoeutheria (no rank), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	"SIGNAL 1..16; /evidence=""ECO:0000269|PubMed:15340161"""
M1MR49	M1MR49	176	JAP_RHIAP	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Metazoa (kingdom), Eumetazoa (no rank), Bilateria (no rank), Protostomia (no rank), Ecdysozoa (no rank), Panarthropoda (no rank), Arthropoda (phylum), Chelicerata (subphylum), Arachnida (class), Acari (subclass), Parasitiformes (superorder), Ixodida (order), Ixodoidea (superfamily), Ixodidae (family), Rhipicephalinae (subfamily), Rhipicephalus (genus), Rhipicephalus (subgenus)	"SIGNAL 1..24; /evidence=""ECO:0000269|PubMed:23825947"""
P82143	P82143	200	PLIGB_GLOBS	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Metazoa (kingdom), Eumetazoa (no rank), Bilateria (no rank), Deuterostomia (no rank), Chordata (phylum), Craniata (subphylum), Vertebrata (no rank), Gnathostomata (no rank), Teleostomi (no rank), Euteleostomi (no rank), Sarcopterygii (superclass), Dipnotetrapodomorpha (no rank), Tetrapoda (no rank), Amniota (no rank), Sauropsida (no rank), Sauria (no rank), Lepidosauria (class), Squamata (order), Bifurcata (no rank), Unidentata (no rank), Episquamata (no rank), Toxicofera (no rank), Serpentes (infraorder), Colubroidea (superfamily), Viperidae (family), Crotalinae (subfamily), Gloydius (genus), Gloydius brevicaudus (species)	"SIGNAL 1..19; /evidence=""ECO:0000269|PubMed:9230137"""
Q9UKZ9	Q9UKZ9	415	PCOC2_HUMAN	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Metazoa (kingdom), Eumetazoa (no rank), Bilateria (no rank), Deuterostomia (no rank), Chordata (phylum), Craniata (subphylum), Vertebrata (no rank), Gnathostomata (no rank), Teleostomi (no rank), Euteleostomi (no rank), Sarcopterygii (superclass), Dipnotetrapodomorpha (no rank), Tetrapoda (no rank), Amniota (no rank), Mammalia (class), Theria (no rank), Eutheria (no rank), Boreoeutheria (no rank), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	"SIGNAL 1..23; /evidence=""ECO:0000269|PubMed:15340161"""
